geonameid,name,latitude,longitude,countrycode,population,timezone,admin1code,alternatenames,Tourist Arrivals (millions),Ease of Business Score,GDP per Capita (USD),International Air Passengers,Safety Index (Low Crime Rate),Destination Wedding Score
4903976,North Peoria,40.71754,-89.58426,US,113004,America/Chicago,IL,[''],0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5108955,Bethpage,40.74427,-73.48207,US,16429,America/New_York,NY,"['BPA', 'Bethpage', 'Betpejdz', 'Central Park', 'beseupeiji', 'Бетпејџ', '베스페이지']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5109790,Borough Park,40.63399,-73.99681,US,149248,America/New_York,NY,"['Blythebourne', 'Boro-Park', 'Borough Park', 'Боро-Парк', 'בארא פארק', 'בורו פארק']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5110077,Brentwood,40.78121,-73.24623,US,60664,America/New_York,NY,"['Brentud', 'Brentvud', 'Brentwood', 'bryntwwd', 'Брентвуд', 'Брентуд', 'برينتوود', 'برینٹووڈ، نیو یارک']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5110159,Brighton,43.14756,-77.55055,US,36609,America/New_York,NY,"['Brajton', 'Брайтон', 'برائٹن، مونرو کاؤنٹی، نیو یارک']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5110161,Brighton Beach,40.57788,-73.95958,US,31462,America/New_York,NY,"['Brighton Beach', 'Duck Hill']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5110266,The Bronx,40.84985,-73.86641,US,1385108,America/New_York,NY,"['Borough of Bronx', 'Bronks', 'Bronkso', 'Bronx', 'The Bronx', 'Бронкс']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5110302,Brooklyn,40.6501,-73.94958,US,2736074,America/New_York,NY,"['BK', 'Bklyn', 'Borough of Brooklyn', 'Breuckelen', 'Breukelen', 'Broklino', 'Brooklyn', 'Brucclinu', 'Bruklin', 'Bruklina', 'Bruklinas', 'Comitatus Bruclinum', 'Kings County', 'Marechkawick', 'beulukeullin', 'bru klin', 'brukalina', 'brwklyn', 'brwqlyn', 'bu lu ke lin qu', 'burukkurin qu', ""kinsa ka'unti"", 'Бруклин', 'Бруклін', 'ברוקלין', 'بروكلين', 'بروکلین', 'ब्रुकलीन', 'ब्रूकलिन', 'কিংস কাউন্টি', 'ব্রুকলিন', 'บรุกลิน', 'ბრუკლინი', 'ブルックリン区', '布鲁克林区', '브루클린']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5110309,Brooklyn Heights,40.69538,-73.99375,US,20256,America/New_York,NY,"['Brookland Heights', 'Brooklyn Heights', 'Brooklyn Village', 'bu lu ke lin gao de', '布鲁克林高地']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5110446,Brownsville,40.66094,-73.92014,US,74497,America/New_York,NY,"[""Brown's Village"", 'Brownsville']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5110629,Buffalo,42.88645,-78.87837,US,258071,America/New_York,NY,"['BUF', 'Bafalas', 'Bafalo', 'Baffalo', 'Bufala', 'Bufalo', 'Bufalum', 'Buffalo', 'Buffalo i New York', 'Bupalo', 'Búfalo', 'De-o-tro-weh', 'De-ose-lole', 'Ne-o-thro-ra', 'New Amsterdam', 'Tick-e-ack-gou-ga', ""Tsistekeriia'kon:ke"", ""Tsistekeriia'kón:ke"", 'bafelo', 'baffalo', 'baffaro', 'baphalo', 'baphelo', 'beopeollo', 'bfylw  nyw yark', 'bupalo', 'bwfalw', 'bwfalw  nywywrk', 'bwfylw', 'pahpalo', 'shui niu cheng', 'Μπάφαλο', 'Бафало', 'Баффало', 'Буфала', 'Буфало', 'Буффало', 'Бъфало', 'Բուֆֆալո', 'באפאלא', 'באפלו', 'بفیلو، نیو یارک', 'بوفالو', 'بوفالو، نیویورک', 'بوفیلو', 'बफ़ेलो', 'बफेलो', 'பஃபலோ', 'బఫెలో', 'ಬಫಲೋ', 'บัฟฟาโล', 'ბუფალო', 'バッファロー', '水牛城', '버펄로']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5110918,Bushwick,40.69427,-73.91875,US,112620,America/New_York,NY,"['Boswijck', 'Bushuik', 'Bushwick', 'Bushwyck', 'bu xi wei ke', 'bwswwyq', 'Бушуик', 'בושוויק', '布希維克']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5111141,Cambria Heights,40.69455,-73.73847,US,20287,America/New_York,NY,[''],0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5111412,Canarsie,40.64372,-73.90069,US,87366,America/New_York,NY,[''],0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5112035,Centereach,40.85843,-73.09955,US,31578,America/New_York,NY,"['Centereach', 'New Village']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5112078,Central Islip,40.79065,-73.20178,US,34450,America/New_York,NY,[''],0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5112375,Cheektowaga,42.90339,-78.75475,US,75178,America/New_York,NY,"['Cheektowaga', 'Cheektowaga Station', 'Cheektowaga Village', 'Jiik-do-waah-geh']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5112540,Chinatown,40.71649,-73.99625,US,90000,America/New_York,NY,"['Chajna-taun', 'chainataun', 'man ha dun hua bu', 'zyynhtʼwn', 'Чайна-таун', 'טשיינעטאון', 'ציינהטאון', 'チャイナタウン', '曼哈頓華埠', '차이나타운']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5112710,Cicero,43.17562,-76.11937,US,31632,America/New_York,NY,"['Cicero', 'Cicero Corners', 'sysyrw', 'سيسيرو']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5112861,Clay,43.1859,-76.17243,US,58206,America/New_York,NY,"['Clay', 'West Cicero']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5112961,Clifton Park,42.86563,-73.77095,US,36705,America/New_York,NY,"['Chou-en-da-ho-wa', 'Clifton Park', 'Cliftonpark', 'Shanandhoi', 'Shanandhot', 'Shenondehowa', 'Stevens Corners', 'klyftwn bark', 'كليفتون بارك']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5109177,Binghamton,42.09869,-75.91797,US,46032,America/New_York,NY,"['BGM', 'Bingamton', 'Bingamtonas', 'Bingemton', 'Binghamton', 'Binghamton i New York', 'Bingkhamtun', 'Bingnamton', 'Chenango Point', 'bin han dun', 'bing-eomteon', 'bingamuton', 'bynghamtwn', 'bynghmtwn', 'bynghmtwn  nywywrk', 'Бингамтон', 'Бингемтон', 'Бингхамтън', 'Бингњамтон', 'Бінгемтон', 'בינגהמטון', 'بينغامتون', 'بینگهمتون، نیویورک', 'بینگہمٹن، نیو یارک', 'ビンガムトン', '賓漢頓', '賓罕頓', '빙엄턴']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5108815,Bensonhurst,40.60177,-73.99403,US,60000,America/New_York,NY,"['Bensonhurst', 'Bensonhurst-By-The-Sea', 'Bensonkherst', 'Bensonkhjorst', 'Бенсонхерст', 'Бенсонхёрст']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5105634,Union City,40.77955,-74.02375,US,69156,America/New_York,NJ,"['ECC', 'East Cost Cities', 'Junion Siti', 'Junion-Siti', 'Union City', 'awnywn syty  nywjrsy', 'you lian shi', 'yunieonsiti', 'yunionshiti', 'ywnywn syty', 'Јунион Сити', 'Юнион Сити', 'Юнион-Сити', 'Юніон-Сіті', 'יוניון סיטי', 'اونیون سیتی، نیوجرسی', 'يونيون سيتي', 'یونین شہر، نیو جرسی', 'ユニオンシティ', '友聯市', '유니언시티']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5108707,Bellmore,40.66871,-73.52707,US,16218,America/New_York,NY,"['Bellmore', 'New Bridge']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5106160,Wayne,40.92538,-74.27654,US,57915,America/New_York,NJ,[''],0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5106279,West Milford,41.13121,-74.36737,US,26968,America/New_York,NJ,[''],0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5106292,West New York,40.78788,-74.01431,US,53366,America/New_York,NJ,"[""Vehst N'ju Jork"", 'Vest NJujork', 'mghrby nyw yark  nyw jrsy', 'nyw ywrk ghrby  nywjrsy', 'weseuteunyuyog', 'Вест Њујорк', 'Вэст Нью Йорк', 'مغربی نیو یارک، نیو جرسی', 'نیو یورک غربی، نیوجرسی', '웨스트뉴욕']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5106298,West Orange,40.79871,-74.23904,US,48131,America/New_York,NJ,"['Freemantown', 'McLellan', 'West Orange', 'Williamstown']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5106331,Westfield,40.65899,-74.34737,US,30548,America/New_York,NJ,"['Uehstfild', 'Vehstfild', 'Vestfild', 'weseuteupildeu', 'wstfyld  nywjrsy', 'Вестфилд', 'Вэстфилд', 'Уэстфилд', 'وستفیلد، نیوجرسی', 'ویسٹ فیلڈ، نیو جرسی', '웨스트필드']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5106453,Willingboro,40.02789,-74.86905,US,31668,America/New_York,NJ,"['Levittown', 'Willingboro']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5106529,Woodbridge,40.5576,-74.28459,US,19265,America/New_York,NJ,"['Woodbridg', 'Woodbridge', 'Woodbrige']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5106615,Wyckoff,41.00954,-74.17292,US,17124,America/New_York,NJ,"['Wikoff', 'Wyckoff']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5106834,Albany,42.65258,-73.75623,US,98469,America/New_York,NY,"['ALB', 'Albania', 'Albanija', 'Albany', 'Albany i New York', 'Albany on Niwum Eoforwice', 'Albany on Nīwum Eoforwīce', 'Aurania', 'Beverswyck', 'Beverwick', 'Beverwyck', 'Ches-co-don-ta', 'Fort Orange', 'Fuyck', 'Ga-isch-ti-nic', 'Gaasch-tinick', 'Gaishtinic', 'Kaishtinic', 'New Orange', 'Olbani', 'Olbanis', 'Olmpani', 'Pem-pot-a-wut-hut', 'Pempotuwuthut', 'Rensselaerwyck', 'Scheneghtada', 'Shaw-na-taw-ty', 'Ska-neh-ta-de', 'Skaghnetade', 'Skaneghtada', 'Skenectadea', 'William Stadt', 'Williamstadt', 'albani', 'albany', 'albany  nyw yark', 'albany  nywywrk', 'albny', 'alpeni', 'ao er ba ni', 'elbani', 'ke ba li', 'olbeoni', 'orubani', 'xxlbani', 'Όλμπανι', 'Албания', 'Олбани', 'Олбані', 'Օլբանի', 'אולבני', 'אלבאני', 'آلبانی، نیویورک', 'ألباني', 'ئالبانی، نیویۆرک', 'البانی، نیو یارک', 'البنی', 'अल्बानी', 'आल्बनी', 'एल्बानी', 'ஆல்பெனி', 'ออลบานี', 'ალბანი', 'オールバニ', '奥尔巴尼', '柯巴利', '올버니']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5107129,Amherst,42.97839,-78.79976,US,122366,America/New_York,NY,"['Amherst', 'Amkherst', 'amhrst  nywywrk', 'amuhasuto', 'Амхерст', 'امهرست، نیویورک', 'アムハースト']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5107152,Amsterdam,42.93869,-74.18819,US,18008,America/New_York,NY,"['Amsterdam', 'Amsterdam (New York  USA)', ""Vedder's Mills"", 'Veddersburg', 'Veedersburgh', 'a mu si te dan', 'aemseuteodaem', 'amstrdam', 'amstrdam  nywywrk', 'amusuterudamu', 'Амстердам', 'אמסטערדאם', 'آمستردام، نیویورک', 'أمستردام', 'ایمسٹرڈیم، نیو یارک', 'ایمسٹرڈیم،نیویارک', 'アムステルダム', '阿姆斯特丹', '앰스터댐']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5107464,Astoria,40.77205,-73.93014,US,150165,America/New_York,NY,"['Astoria', 'Astorija', ""Hallett's Cove"", 'aeseutolia', 'astwrya', 'Αστόρια', 'Астория', 'آستوریا', 'অ্যাস্টোরিয়া', '애스토리아']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5107505,Auburn,42.93173,-76.56605,US,26985,America/New_York,NY,"['Auburn', ""Hardenbergh's Corners"", 'Obern', 'Oburn', 'Os-co', 'Was-co', 'abrn', 'abrn  nyw yark', 'abwrn  nywywrk', 'ao ben', 'awbwrn', 'oban', 'obeon', 'Аубурн', 'Оберн', 'Обърн', 'آبرن', 'آبرن، نیو یارک', 'آبورن، نیویورک', 'أوبورن', 'オーバーン', '奧本', '오번']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5107760,Baldwin,40.65649,-73.6093,US,24033,America/New_York,NY,"['Baldwin', 'Baldwins', 'Baldwinville', 'Bethel', 'Bolduin', 'Fox Borough', ""Hick's Neck"", 'Milburn Corners', 'baldwyn', 'Болдуин', 'بالدوين', 'بالڈون، ناساؤ کاؤنٹی، نیو یارک']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5108093,Batavia,42.99812,-78.18752,US,15010,America/New_York,NY,"['Batavia', 'Batavija', 'Batejvija', 'Botovijoo', 'De-o-on-go-wa', 'Ge-ne-un-dah-sa-is-ka', 'Jo-a-i-ka', 'The Bend', 'batabia', 'batafya', 'batawya  nywywrk', 'Батавия', 'Батејвија', 'Ботовиёо', 'باتافيا', 'باتاویا، نیویورک', 'バタビア']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5108111,Bath Beach,40.60455,-74.00431,US,33080,America/New_York,NY,[''],0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5108169,Bay Shore,40.7251,-73.24539,US,26337,America/New_York,NY,"['Bay Shore', 'Bayshore', 'Bej Shor', 'Keith', 'Mechanicville', 'Penataquit', 'bay shwry', 'Бей Шор', 'Беј Шор', 'باي شوري']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5108186,Baychester,40.86928,-73.83645,US,16274,America/New_York,NY,"['Bay Chester', 'Baychester']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5108193,Bayside,40.76844,-73.77708,US,66455,America/New_York,NY,"['Bay Side', 'Bayside', 'بے سائڈ، کوئینز']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5113142,Cohoes,42.77424,-73.70012,US,16538,America/New_York,NY,"['Cohoes', 'Ga-ha-oos', 'Kokhos', 'Kounis', 'kwhs  nywywrk', 'kwhws', 'Коуњис', 'Кохос', 'كوهوس', 'کوهس، نیویورک']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5113302,College Point,40.7876,-73.84597,US,27307,America/New_York,NY,"['College Point', 'Collegepoint', 'Strattonport Point', 'Strattonsport']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5113412,Commack,40.84288,-73.29289,US,36124,America/New_York,NY,"['Co-Mac', 'Comac', 'Comack', 'Commac', 'Commack', 'Comock', 'Komak', 'Wanecommack', 'Winne - Comack', 'Winnecomac Win-Ne-Co-Mack', 'Winnie Comac', 'kwmak', 'Комак', 'كوماك']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5113481,Coney Island,40.57788,-73.99403,US,60000,America/New_York,NY,"['Coney Adasi', 'Coney Adası', 'Coney Island', 'Conyn Island', 'Conyne Island', 'Insulo Coney', 'Koni-Ajlend', 'kang ni dao', 'koni-ailendi', 'koniaillaendeu', 'koniairando', 'kwny ayland', 'Кони-Айленд', 'קוני איילנד', 'كوني آيلاند', 'კონი-აილენდი', 'ქონი-აილენდი', 'コニーアイランド', '康尼島', '코니아일랜드']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5116495,Elmhurst,40.73649,-73.87791,US,113364,America/New_York,NY,"['Elmhurst', 'Middeburgh', 'Middelburg', 'Middelburgh', 'Neutuyn', 'Newtown']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5116497,Elmira,42.0898,-76.80773,US,28213,America/New_York,NY,"['ELM', ""Ehl'mira"", 'Elmajra', 'Elmira', 'Ilmiro', 'New Town', 'Newtown', 'Skwedowa', 'ai er mai la', 'almyra', 'almyra  nywywrk', 'aylmyra  nyw yark', 'erumaira', 'Елмайра', 'Елмајра', 'Илмиро', 'Эльмира', 'إلميرا', 'المیرا، نیویورک', 'ایلمیرا، نیو یارک', 'エルマイラ', '埃尔迈拉']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5116508,Elmont,40.70094,-73.71291,US,33198,America/New_York,NY,"['Elmont', ""Foster's Meadow"", 'almwnt', 'Елмонт', 'إلمونت']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5116570,Emerson Hill,40.60872,-74.09598,US,15412,America/New_York,NY,[''],0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5116917,Far Rockaway,40.60538,-73.75513,US,39189,America/New_York,NY,"['פאר ראקעוועי', 'فار روک اوے، کوئینز']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5116937,Farmingville,40.83121,-73.02955,US,15481,America/New_York,NY,[''],0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5117378,Flatbush,40.65205,-73.95903,US,93361,America/New_York,NY,"['Flatbush', 'Middelwout', 'Middewout', 'Vlackebos', 'פלעטבוש']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5117388,Flatlands,40.62122,-73.93486,US,63601,America/New_York,NY,"['Flatlands', 'Keskachauge', 'Neue Amserfoort']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
5117438,Floral Park,40.72371,-73.70485,US,15969,America/New_York,NY,"['East Hinsdale', 'Floral Park', 'Hinsdale', 'flwral bark', 'flwrl park  nyw yark', 'Флорал Парк', 'فلورال بارك', 'فلورل پارک، نیو یارک']",0.38456861651768465,0.026455026455026454,0.32207655403088714,1.0,0.13059318371270606,0.39813621942375876
